Billing Month,2007_02

CDR Source,Batch Name,Wholesale Value,Resale Value
Unitel Mobile,tap_sta1_23139716000139_20070210_000832_a_s.dat,2630.09,3868.5957
Unitel Mobile,tap_sta1_23139716000139_20070211_000833_a_s.dat,1123.81,1685.7589
Unitel Mobile,tap_STA1_23139716000139_20070211_000834_a_l.dat,0,0
Unitel Mobile,tap_sta1_23139716000139_20070212_000835_a_s.dat,4852.91,7141.8187
Unitel Mobile,tap_sta1_23139716000139_20070213_000836_a_s.dat,6146.17,8993.5864
Unitel Mobile,tap_sta1_23139716000139_20070214_000837_a_s.dat,6019.92,8837.2867
Unitel Mobile,tap_sta1_23139716000139_20070215_000838_a_s.dat,5753.9,8434.3631
Unitel Mobile,tap_sta1_23139716000139_20070216_000839_a_s.dat,5557.95,8147.6667
Unitel Mobile,tap_sta1_23139716000139_20070217_000840_a_s.dat,2352.48,3648.7558
Unitel Mobile,tap_sta1_23139716000139_20070218_000841_a_s.dat,947.52,1618.812
Unitel Mobile,tap_sta1_23139716000139_20070219_000842_a_s.dat,4085.09,6823.5408
Unitel Mobile,tap_sta2_23781855000169_20070201_000046_a_s.dat,3.02,5.7816
Unitel Mobile,tap_sta2_23781855000169_20070202_000047_a_s.dat,5.66,10.0631
Unitel Mobile,tap_sta2_23781855000169_20070203_000048_a_s.dat,1.31,2.4492
Unitel Mobile,tap_sta2_23781855000169_20070204_000049_a_s.dat,0.26,0.4776
Unitel Mobile,tap_sta2_23781855000169_20070205_000050_a_s.dat,6.27,11.4425
Unitel Mobile,tap_sta2_23781855000169_20070206_000051_a_s.dat,2.1,3.981
Unitel Mobile,tap_sta2_23781855000169_20070207_000052_a_s.dat,2.58,4.9251
Unitel Mobile,tap_sta2_23781855000169_20070208_000053_a_s.dat,3.95,7.6522
Unitel Mobile,tap_sta2_23781855000169_20070209_000054_a_s.dat,3.5,6.7556
Unitel Mobile,tap_sta2_23781855000169_20070210_000055_a_s.dat,7.29,13.4825
Unitel Mobile,tap_sta2_23781855000169_20070211_000056_a_s.dat,0.47,0.8205
Unitel Mobile,tap_sta2_23781855000169_20070212_000057_a_s.dat,7.14,13.5431
Unitel Mobile,tap_sta2_23781855000169_20070213_000058_a_s.dat,4.74,8.9187
Unitel Mobile,tap_sta2_23781855000169_20070214_000059_a_s.dat,2.35,3.9449
Unitel Mobile,tap_sta2_23781855000169_20070215_000060_a_s.dat,12.64,9.9452
Unitel Mobile,tap_sta2_23781855000169_20070216_000061_a_s.dat,3.83,6.5426
Unitel Mobile,tap_sta2_23781855000169_20070217_000062_a_s.dat,1.22,0.702
Unitel Mobile,tap_sta2_23781855000169_20070218_000063_a_s.dat,0.07,0.1178
Unitel Mobile,tap_sta2_23781855000169_20070219_000064_a_s.dat,2.36,3.9121
Unitel S & E,STAOffnetBatch_SE_B00190_12022007.csv,122.9,132.7009
Unitel S & E,STAOffnetBatch_SE_B00192_27022007.csv,303724.88,336221.2925
Unitel S & E,STAOnnetBatch_SE_B00191_12022007.csv,1478.41,1458.41
