Billing Month,2007_01

CDR Source,Batch Name,Wholesale Value,Resale Value
,W022051312.A22,22.59,34.3923
,W022051312.A23,272.44,402.1334
,W022051312.A24,240.11,363.4891
,W022051312.A25,197.57,320.3009
,W022051312.A26,194.4,295.0266
,W022051312.A27,5.78,10.1022
,W022051312.A28,29.22,50.3805
,W022051312.A29,15.48,21.9433
,W022051312.A30,193.93,284.3464
,W022051312.A31,297.07,449.6261
,W022051312.B01,234.89,363.294
,W022051312.L30,56.16,85.1111
,W022051312.L31,22.72,38.3976
Unitel Mobile,b0251596.csv,446.3799,774.4261
Unitel Mobile,b0251845.csv,538.7845,977.8482
Unitel Mobile,b0252071.csv,925.9296,1655.4633
Unitel Mobile,b0252318.csv,622.3866,1086.9857
Unitel Mobile,b0252548.csv,502.2027,783.7422
Unitel Mobile,b0252779.csv,325.6656,507.885
Unitel Mobile,b0253037.csv,532.6048,880.0086
Unitel Mobile,b0253274.csv,625.5883,1063.1663
Unitel Mobile,b0253520.csv,494.1278,861.3086
Unitel Mobile,b0253774.csv,566.2184,977.0038
Unitel Mobile,b0253996.csv,667.4971,1128.6735
Unitel Mobile,b0254212.csv,310.4781,548.8442
Unitel Mobile,b0254443.csv,284.0907,531.9775
Unitel Mobile,b0254690.csv,721.3694,1167.3284
Unitel Mobile,b0254944.csv,643.1387,1020.1907
Unitel Mobile,b0255047.csv,371.6114,664.4819
Unitel Mobile,b0255269.csv,790.0849,1341.3388
Unitel Mobile,b0255670.csv,561.0889,952.7217
Unitel Mobile,b0255888.csv,342.2745,585.4348
Unitel Mobile,b0256123.csv,242.1308,388.5282
Unitel Mobile,b0256333.csv,540.6485,910.155
Unitel Mobile,b0256624.csv,485.7296,870.3273
Unitel Mobile,b0256918.csv,263.717,433.3061
Unitel Mobile,b0257031.csv,859.5633,1454.3181
Unitel Mobile,b0257376.csv,230.3078,409.7568
Unitel Mobile,b0257519.csv,327.1717,559.6607
Unitel Mobile,b0257714.csv,328.2132,584.8364
Unitel Mobile,b0257965.csv,609.0807,1018.8454
Unitel Mobile,b0258404.csv,644.7434,1009.9232
Unitel Mobile,tap_sta1_23139716000139_20061229_000781_a_s.dat,66.68,118.6546
Unitel Mobile,tap_sta1_23139716000139_20061230_000782_a_s.dat,131.26,239.1702
Unitel Mobile,tap_sta1_23139716000139_20061231_000783_a_s.dat,849.8,1296.9821
Unitel Mobile,tap_sta1_23139716000139_20070101_000784_a_s.dat,746.36,1141.9485
Unitel Mobile,tap_sta1_23139716000139_20070102_000785_a_s.dat,859.78,1566.1886
Unitel Mobile,tap_sta1_23139716000139_20070103_000786_a_s.dat,269.73,544.6169
Unitel Mobile,tap_sta1_23139716000139_20070104_000787_a_s.dat,219.9,421.1451
Unitel Mobile,tap_sta1_23139716000139_20070106_000788_a_s.dat,4740.3,7121.8679
Unitel Mobile,tap_sta1_23139716000139_20070106_000789_a_s.dat,1422.15,2185.5932
Unitel Mobile,tap_sta1_23139716000139_20070107_000790_a_s.dat,644.8,1005.3659
Unitel Mobile,tap_sta1_23139716000139_20070108_000791_a_s.dat,734.77,1518.2147
Unitel Mobile,tap_sta1_23139716000139_20070109_000792_a_s.dat,5327,7897.1772
Unitel Mobile,tap_sta1_23139716000139_20070110_000793_a_s.dat,5268.56,7857.3983
Unitel Mobile,tap_STA1_23139716000139_20070110_000794_a_l.dat,0,0
Unitel Mobile,tap_sta1_23139716000139_20070111_000795_a_s.dat,5201.26,7653.4279
Unitel Mobile,tap_sta1_23139716000139_20070112_000796_a_s.dat,4902.16,7332.5642
Unitel Mobile,tap_sta1_23139716000139_20070113_000797_a_s.dat,2395.1,3506.105
Unitel Mobile,tap_sta1_23139716000139_20070114_000798_a_s.dat,967.68,1486.4747
Unitel Mobile,tap_sta1_23139716000139_20070115_000799_a_s.dat,4530.69,6787.7282
Unitel Mobile,tap_sta1_23139716000139_20070116_000800_a_s.dat,5651.41,8422.5034
Unitel Mobile,tap_sta1_23139716000139_20070117_000801_a_s.dat,5828.19,8521.0709
Unitel Mobile,tap_sta1_23139716000139_20070118_000802_a_s.dat,5686.91,8373.7039
Unitel Mobile,tap_STA1_23139716000139_20070118_000803_a_l.dat,0,0
Unitel Mobile,tap_sta1_23139716000139_20070119_000804_a_s.dat,5553.13,8249.8137
Unitel Mobile,tap_sta1_23139716000139_20070120_000805_a_s.dat,2610.23,3871.5195
Unitel Mobile,tap_sta1_23139716000139_20070121_000806_a_s.dat,1093.91,1643.2627
Unitel Mobile,tap_sta1_23139716000139_20070122_000807_a_s.dat,4619.35,6975.7057
Unitel Mobile,tap_sta1_23139716000139_20070123_000808_a_s.dat,5828.87,8743.6485
Unitel Mobile,tap_sta1_23139716000139_20070124_000809_a_s.dat,5964.49,8750.2197
Unitel Mobile,tap_STA1_23139716000139_20070124_000810_a_l.dat,0,0
Unitel Mobile,tap_sta1_23139716000139_20070125_000811_a_s.dat,5722.7,8399.1648
Unitel Mobile,tap_STA1_23139716000139_20070125_000812_a_l.dat,0,0
Unitel Mobile,tap_sta1_23139716000139_20070126_000813_a_s.dat,2218.84,3207.3924
Unitel Mobile,tap_sta1_23139716000139_20070127_000814_a_s.dat,1298.28,1980.6558
Unitel Mobile,tap_sta1_23139716000139_20070128_000815_a_s.dat,1042.56,1547.1905
Unitel Mobile,tap_sta1_23139716000139_20070129_000816_a_s.dat,4973.6,7343.43
Unitel Mobile,tap_sta1_23139716000139_20070130_000817_a_s.dat,6319.45,9195.9204
Unitel Mobile,tap_sta1_23139716000139_20070131_000818_a_s.dat,6216.77,9130.2654
Unitel Mobile,tap_STA1_23139716000139_20070131_000819_a_l.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20061229_000012_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20061230_000013_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20061231_000014_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070101_000015_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070102_000016_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070103_000017_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070104_000018_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070106_000019_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070106_000020_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070107_000021_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070108_000022_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070109_000023_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070110_000024_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070111_000025_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070112_000026_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070113_000027_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070114_000028_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070115_000029_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070116_000030_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070117_000031_a_s.dat,0,0
Unitel Mobile,tap_sta2_23781855000169_20070118_000032_a_s.dat,0.5,0.8874
Unitel Mobile,tap_sta2_23781855000169_20070119_000033_a_s.dat,3.73,7.1531
Unitel Mobile,tap_sta2_23781855000169_20070120_000034_a_s.dat,0.99,1.8539
Unitel Mobile,tap_sta2_23781855000169_20070121_000035_a_s.dat,0.28,0.5104
Unitel Mobile,tap_sta2_23781855000169_20070122_000036_a_s.dat,1.75,3.3372
Unitel Mobile,tap_sta2_23781855000169_20070123_000037_a_s.dat,1.8,3.4525
Unitel Mobile,tap_sta2_23781855000169_20070124_000038_a_s.dat,3.31,6.4153
Unitel Mobile,tap_sta2_23781855000169_20070125_000039_a_s.dat,5.09,9.2448
Unitel Mobile,tap_sta2_23781855000169_20070126_000040_a_s.dat,0.38,1.0946
Unitel Mobile,tap_sta2_23781855000169_20070127_000041_a_s.dat,0.2,0.2699
Unitel Mobile,tap_sta2_23781855000169_20070128_000042_a_s.dat,0.22,0.3973
Unitel Mobile,tap_sta2_23781855000169_20070129_000043_a_s.dat,3.57,6.9375
Unitel Mobile,tap_sta2_23781855000169_20070130_000044_a_s.dat,2.95,5.4985
Unitel Mobile,tap_sta2_23781855000169_20070131_000045_a_s.dat,2.73,5.2122
Unitel S & E,STAOffnetBatch_SE_B00187_10012007.csv,613.52,689.8297
Unitel S & E,STAOffnetBatch_SE_B00189_29012007.csv,304267.93,333540.4137
Unitel S & E,STAOnnetBatch_SE_B00188_10012007.csv,1448.41,1428.41
